"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","city_name"
"2025-08-01 00:04:15+08:00",1.0,138.0,0.0,0.26,47.61,0.25,5.91,19.27,0.08,"Tarlac City"
"2025-08-01 00:04:17+08:00",1.0,172.11,0.03,2.0,33.9,0.35,3.53,5.37,1.25,"Tayabas"
"2025-08-01 00:04:18+08:00",1.0,99.92,0.01,1.13,21.93,0.23,2.27,4.04,0.4,"Toledo City"
"2025-08-01 00:04:20+08:00",1.0,285.15,0.38,5.04,17.24,0.97,5.51,6.71,2.47,"Tuguegarao"
"2025-08-01 00:04:22+08:00",1.0,140.79,0.0,0.41,46.48,0.28,6.2,19.43,0.16,"Urdaneta"
"2025-08-01 00:04:24+08:00",1.0,118.63,0.01,3.19,20.37,1.11,2.78,5.17,0.92,"Valencia"
"2025-08-01 00:04:26+08:00",1.0,133.37,0.0,0.5,46.99,0.27,3.97,10.22,0.37,"Valenzuela"
"2025-08-01 00:04:28+08:00",1.0,82.01,0.0,0.42,24.84,0.19,2.33,6.56,0.24,"Victorias"
"2025-08-01 00:04:30+08:00",2.0,135.19,0.0,1.31,41.44,0.93,7.05,23.1,0.25,"Vigan"
"2025-08-01 00:04:32+08:00",1.0,86.41,0.0,0.76,24.38,0.17,1.98,3.5,0.25,"Zamboanga City"
"2025-08-01 01:00:00+08:00",1.0,124.2,0.0,0.21,43.42,0.19,4.5,16.06,0.04,"Alaminos"
"2025-08-01 01:00:01+08:00",1.0,130.17,0.0,0.22,45.8,0.2,3.9,11.55,0.13,"Angeles City"
"2025-08-01 01:00:03+08:00",1.0,155.91,0.0,1.43,43.69,0.63,4.04,7.9,0.74,"Antipolo"
"2025-08-01 01:00:05+08:00",1.0,258.5,0.78,4.94,12.26,0.91,9.17,15.05,1.49,"Bacolod"
"2025-08-01 01:00:06+08:00",1.0,132.03,0.0,0.5,45.47,0.21,2.99,6.79,0.38,"Bacoor"
"2025-08-01 01:00:09+08:00",1.0,78.26,0.0,0.21,26.76,0.12,2.23,6.19,0.11,"Bago City"
"2025-08-01 01:00:11+08:00",1.0,145.16,0.0,0.83,42.22,0.58,5.64,13.57,0.28,"Baguio"
"2025-08-01 01:00:13+08:00",1.0,93.27,0.0,0.84,26.05,0.19,2.34,5.84,0.34,"Bais"
"2025-08-01 01:00:15+08:00",1.0,128.38,0.0,0.21,46.07,0.18,3.43,9.95,0.14,"Balanga"
"2025-08-01 01:00:17+08:00",1.0,141.97,0.0,2.0,41.07,1.36,6.38,15.25,0.29,"Batac City"
"2025-08-01 01:00:20+08:00",1.0,118.75,0.0,0.72,38.4,0.22,2.3,4.76,0.37,"Batangas City"
"2025-08-01 01:00:21+08:00",1.0,106.36,0.03,1.19,20.97,0.22,2.78,6.21,0.51,"Bayawan"
"2025-08-01 01:00:24+08:00",1.0,107.66,0.0,1.23,27.98,0.43,3.0,8.22,0.57,"Baybay"
"2025-08-01 01:00:26+08:00",2.0,407.33,1.64,8.47,1.14,0.75,19.81,21.94,3.79,"Bayugan"
"2025-08-01 01:00:27+08:00",1.0,117.75,0.0,3.55,24.55,1.3,2.72,4.3,1.41,"Bislig"
"2025-08-01 01:00:30+08:00",1.0,137.34,0.0,0.89,43.66,0.2,2.78,5.17,0.64,"Biñan"
"2025-08-01 01:00:31+08:00",1.0,169.17,0.11,4.24,15.37,0.93,5.65,8.73,1.43,"Bogo"
"2025-08-01 01:00:33+08:00",2.0,284.74,0.01,13.03,23.41,1.86,10.71,12.77,2.11,"Borongan"
"2025-08-01 01:00:34+08:00",2.0,428.78,2.01,9.09,0.62,0.66,19.92,22.07,4.11,"Butuan"
"2025-08-01 01:00:35+08:00",2.0,460.99,1.42,14.64,2.43,2.19,22.01,24.88,11.42,"Cabadbaran"
"2025-08-01 01:00:37+08:00",1.0,133.25,0.0,0.49,46.13,0.35,4.04,9.68,0.19,"Cabanatuan City"
"2025-08-01 01:00:39+08:00",1.0,137.34,0.0,0.89,43.66,0.2,2.78,5.17,0.64,"Cabuyao"
"2025-08-01 01:00:41+08:00",1.0,126.49,0.07,1.85,19.13,0.27,3.88,7.03,0.67,"Cadiz"
"2025-08-01 01:00:43+08:00",2.0,242.04,0.08,5.35,16.74,0.57,10.87,12.76,3.18,"Cagayan de Oro"
"2025-08-01 01:00:45+08:00",1.0,124.41,0.0,0.55,42.27,0.18,2.42,5.11,0.31,"Calaca"
"2025-08-01 01:00:47+08:00",1.0,137.34,0.0,0.89,43.66,0.2,2.78,5.17,0.64,"Calamba"
"2025-08-01 01:00:49+08:00",1.0,114.53,0.0,0.59,38.09,0.2,2.35,5.43,0.3,"Calapan"
"2025-08-01 01:00:50+08:00",1.0,187.09,0.01,7.2,18.16,2.47,5.42,9.33,4.05,"Calbayog City"
"2025-08-01 01:00:51+08:00",1.0,132.64,0.0,0.46,45.96,0.25,3.18,7.58,0.37,"Caloocan City"
"2025-08-01 01:00:54+08:00",1.0,151.13,0.0,1.65,40.97,1.21,5.87,14.65,0.47,"Candon"
"2025-08-01 01:00:56+08:00",1.0,78.58,0.0,0.25,27.9,0.13,2.14,6.01,0.12,"Canlaon"
"2025-08-01 01:00:58+08:00",1.0,79.97,0.0,0.43,27.34,0.19,1.25,2.64,0.21,"Carcar"
"2025-08-01 01:01:00+08:00",1.0,137.34,0.0,0.89,43.66,0.2,2.78,5.17,0.64,"Carmona"
"2025-08-01 01:01:02+08:00",1.0,183.97,0.01,8.58,17.57,3.16,4.81,7.66,4.26,"Catbalogan"
"2025-08-01 01:01:04+08:00",2.0,452.94,1.43,9.76,20.23,2.11,13.02,15.54,11.14,"Cauayan"
"2025-08-01 01:01:06+08:00",1.0,132.03,0.0,0.5,45.47,0.21,2.99,6.79,0.38,"Cavite City"
"2025-08-01 01:01:08+08:00",1.0,104.46,0.02,1.28,22.76,0.3,2.43,4.12,0.52,"Cebu City"
"2025-08-01 01:01:10+08:00",1.0,137.21,0.0,0.73,45.35,0.32,3.01,6.35,0.57,"City of Marikina"
"2025-08-01 01:01:12+08:00",1.0,258.5,0.78,4.94,12.26,0.91,9.17,15.05,1.49,"City of Masbate"
"2025-08-01 01:01:13+08:00",1.0,78.42,0.0,0.24,24.77,0.12,2.37,6.95,0.14,"City of Passi"
"2025-08-01 01:01:15+08:00",1.0,136.13,0.0,2.75,21.67,0.73,4.21,9.85,0.98,"City of Sorsogon"
"2025-08-01 01:01:17+08:00",1.0,76.82,0.0,0.29,25.6,0.11,1.63,4.51,0.13,"Cotabato"
"2025-08-01 01:01:20+08:00",1.0,274.62,0.12,4.72,21.23,1.01,6.13,7.22,2.11,"Dagupan"
"2025-08-01 01:01:22+08:00",1.0,104.63,0.02,1.43,22.27,0.39,2.51,4.25,0.55,"Danao"
"2025-08-01 01:01:24+08:00",1.0,104.46,0.02,1.28,22.76,0.3,2.43,4.12,0.52,"Dapitan"
"2025-08-01 01:01:26+08:00",1.0,131.41,0.0,0.53,44.97,0.17,2.8,6.01,0.4,"Dasmariñas"
"2025-08-01 01:01:28+08:00",1.0,250.58,0.22,7.18,17.29,1.18,8.7,10.5,6.09,"Davao"
"2025-08-01 01:01:29+08:00",1.0,109.8,0.0,1.94,24.11,0.46,2.74,4.21,2.07,"Digos"
"2025-08-01 01:01:32+08:00",1.0,147.08,0.1,3.08,15.25,0.54,3.59,5.8,3.31,"Dipolog"
"2025-08-01 01:01:33+08:00",1.0,167.03,0.1,4.12,15.59,0.48,4.71,7.47,2.86,"Dumaguete"
"2025-08-01 01:01:35+08:00",1.0,179.98,0.04,3.72,19.53,0.43,6.7,8.26,2.59,"El Salvador"
"2025-08-01 01:01:38+08:00",1.0,171.79,0.14,3.33,13.25,0.38,6.0,9.37,1.1,"Escalante"
"2025-08-01 01:01:39+08:00",1.0,133.25,0.0,0.47,46.24,0.33,3.81,9.25,0.24,"Gapan"
"2025-08-01 01:01:41+08:00",1.0,71.28,0.0,0.22,23.17,0.1,0.93,2.07,0.02,"General Santos"
"2025-08-01 01:01:43+08:00",1.0,131.41,0.0,0.53,44.97,0.17,2.8,6.01,0.4,"General Trias"
"2025-08-01 01:01:46+08:00",2.0,337.88,0.67,8.47,18.68,0.85,19.73,22.24,6.15,"Gingoog City"
"2025-08-01 01:01:47+08:00",1.0,78.66,0.0,0.23,28.96,0.13,2.61,7.53,0.08,"Himamaylan"
"2025-08-01 01:01:49+08:00",1.0,242.19,0.0,4.26,28.13,0.81,4.47,5.52,1.38,"Ilagan"
"2025-08-01 01:01:52+08:00",1.0,82.57,0.0,0.46,24.1,0.09,1.57,2.81,0.3,"Iligan City"
"2025-08-01 01:01:53+08:00",1.0,77.01,0.0,0.1,25.88,0.09,2.9,8.22,0.03,"Iloilo City"
"2025-08-01 01:01:54+08:00",1.0,132.03,0.0,0.5,45.47,0.21,2.99,6.79,0.38,"Imus"
"2025-08-01 01:01:56+08:00",1.0,103.08,0.0,0.97,28.99,0.35,2.77,7.65,0.45,"Iriga City"
"2025-08-01 01:01:59+08:00",1.0,78.46,0.0,0.22,27.86,0.13,2.42,6.86,0.1,"Isabela"
"2025-08-01 01:02:01+08:00",1.0,82.03,0.0,0.39,27.94,0.15,2.5,7.15,0.14,"Kabankalan"
"2025-08-01 01:02:04+08:00",1.0,136.42,0.0,2.97,26.95,0.65,3.92,5.4,3.36,"Kidapawan"
"2025-08-01 01:02:06+08:00",1.0,71.23,0.0,0.18,23.46,0.09,1.07,2.66,0.0,"Koronadal"
"2025-08-01 01:02:07+08:00",1.0,78.26,0.0,0.21,26.76,0.12,2.23,6.19,0.11,"La Carlota"
"2025-08-01 01:02:09+08:00",1.0,72.03,0.0,0.32,24.51,0.14,1.1,2.23,0.02,"Lamitan"
"2025-08-01 01:02:11+08:00",1.0,141.97,0.0,2.0,41.07,1.36,6.38,15.25,0.29,"Laoag"
"2025-08-01 01:02:13+08:00",1.0,104.46,0.02,1.28,22.76,0.3,2.43,4.12,0.52,"Lapu-Lapu City"
"2025-08-01 01:02:15+08:00",1.0,132.03,0.0,0.5,45.47,0.21,2.99,6.79,0.38,"Las Piñas"
"2025-08-01 01:02:16+08:00",1.0,128.94,0.0,2.3,23.76,0.68,3.87,9.25,0.83,"Legazpi City"
"2025-08-01 01:02:19+08:00",1.0,111.72,0.0,1.37,27.28,0.44,3.06,7.88,0.55,"Ligao"
"2025-08-01 01:02:21+08:00",1.0,124.92,0.0,0.78,40.15,0.21,2.46,4.9,0.46,"Lipa City"
"2025-08-01 01:02:22+08:00",1.0,76.67,0.0,0.11,25.35,0.09,2.74,8.03,0.05,"Lucena"
"2025-08-01 01:02:24+08:00",1.0,76.67,0.0,0.11,25.35,0.09,2.74,8.03,0.05,"Maasin"
"2025-08-01 01:02:26+08:00",1.0,130.92,0.0,0.23,45.57,0.21,4.16,12.21,0.11,"Mabalacat City"
"2025-08-01 01:02:28+08:00",1.0,137.27,0.0,0.81,44.51,0.26,2.9,5.76,0.61,"Makati City"
"2025-08-01 01:02:29+08:00",1.0,126.89,0.0,0.22,43.48,0.2,4.27,15.05,0.06,"Malabon"
"2025-08-01 01:02:32+08:00",2.0,437.45,0.77,9.3,4.22,0.92,21.3,23.74,4.14,"Malaybalay"
"2025-08-01 01:02:34+08:00",1.0,133.25,0.0,0.43,46.45,0.29,3.37,8.37,0.35,"Malolos"
"2025-08-01 01:02:36+08:00",1.0,137.27,0.0,0.81,44.51,0.26,2.9,5.76,0.61,"Mandaluyong City"
"2025-08-01 01:02:37+08:00",1.0,104.46,0.02,1.28,22.76,0.3,2.43,4.12,0.52,"Mandaue City"
